,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Laptop_ID,Storage Size (GB),Disk Type,Disk Type Numeric,Processor Rank,GPU Rank,Brand Score,Log Price,Performance Score
0,Apple,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,8.9,1.42,FreeDOS,3997.07,0,512.0,SSD,1,1,2,2915.3642789223454,8.293567023661446,18.47516264341613
1,Razer,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,14.0,1366x768,9.4,2.57,Linux,1355.78,1,1024.0,SSD,1,3,7,2695.213804444444,7.212869524362958,2.13446350069504
2,Asus,Intel i5,32,2TB SSD,Nvidia RTX 3060,13.3,3840x2160,8.5,1.74,FreeDOS,2673.07,2,2048.0,SSD,1,2,6,1927.3151416309015,7.891356935329721,9.824344793876458
3,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17,3,256.0,SSD,1,2,7,1978.465790393013,6.62296236223105,1.9367880021236226
4,Razer,Intel i3,4,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.7,3.38,Linux,2059.83,4,256.0,SSD,1,1,3,2695.213804444444,7.630864093257492,1.506912324103191
5,Acer,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,1366x768,7.1,1.85,Linux,1676.64,5,2048.0,SSD,1,1,6,1914.1085150214592,7.425143322889531,18.707362822865143
6,Dell,Intel i5,8,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,9.1,1.98,Windows,1449.05,6,1024.0,SSD,1,2,5,1972.2702222222224,7.279353317578724,2.9557746033441283
7,Microsoft,AMD Ryzen 9,8,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,9.8,1.26,Linux,2193.55,7,1024.0,SSD,1,4,7,1975.2035489361701,7.693732293102043,3.46722569021147
8,Apple,Intel i5,64,256GB SSD,Nvidia RTX 2060,15.6,3840x2160,11.5,1.48,Linux,6409.03,8,256.0,SSD,1,2,5,2915.3642789223454,8.765619230090971,18.846988276574308
9,HP,AMD Ryzen 5,4,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,FreeDOS,1556.72,9,1024.0,SSD,1,2,4,1938.5187334437085,7.350978492692904,1.762637867536862
10,Razer,Intel i9,8,256GB SSD,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38,10,256.0,SSD,1,4,2,2695.213804444444,7.623338870285582,3.1769754659002025
11,Razer,Intel i5,32,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69,11,1024.0,HDD,0,2,4,2695.213804444444,7.617607155946852,9.708244704151952
12,Lenovo,Intel i5,4,256GB SSD,Nvidia RTX 2060,16.0,3840x2160,9.3,2.97,Windows,1770.05,12,256.0,SSD,1,2,5,1978.465790393013,7.479327870021228,1.8206879123991155
13,Acer,AMD Ryzen 3,16,512GB SSD,Integrated,15.6,1920x1080,10.9,2.02,Windows,629.96,13,512.0,SSD,1,1,1,1914.1085150214592,6.447242469089735,4.796072307213722
14,Samsung,Intel i3,32,256GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.8,2.95,macOS,1909.02,14,256.0,SSD,1,1,6,1959.007248495271,7.554868992190041,9.62666929530504
15,MSI,Intel i7,8,512GB SSD,Integrated,13.3,1920x1080,7.8,3.34,macOS,982.19,15,512.0,SSD,1,3,1,2517.552226890756,6.890802387329475,2.9212499224665316
16,Razer,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,macOS,2413.0,16,1024.0,SSD,1,1,7,2695.213804444444,7.789040401657477,5.144372576387243
17,Microsoft,AMD Ryzen 9,4,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6,17,2048.0,SSD,1,4,4,1975.2035489361701,7.369348640867902,2.1579888646796967
18,Razer,Intel i5,32,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,FreeDOS,2191.16,18,512.0,SSD,1,2,2,2695.213804444444,7.6926426381047985,9.592144614427443
19,HP,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,16.0,1366x768,7.2,2.17,FreeDOS,1778.84,19,2048.0,SSD,1,4,6,1938.5187334437085,7.484278751605546,5.679349027239243
20,Dell,Intel i7,64,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,FreeDOS,3311.34,20,256.0,SSD,1,3,3,1972.2702222222224,8.10541016724111,18.928563685421217
21,Acer,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,11.4,3.05,Linux,1734.32,21,1024.0,SSD,1,3,3,1914.1085150214592,7.458947113414701,5.3075233940810636
22,Dell,AMD Ryzen 3,8,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,7.0,1.7,Linux,878.5,22,1024.0,HDD,0,1,2,1972.2702222222224,6.779353564177613,2.58394897018595
23,Dell,Intel i5,8,1TB HDD,Integrated,13.3,2560x1440,11.9,2.53,macOS,830.62,23,1024.0,HDD,0,2,1,1972.2702222222224,6.723375605718711,2.7235744238951143
24,Apple,Intel i9,64,256GB SSD,Integrated,17.3,1920x1080,6.9,2.55,Windows,4428.68,24,256.0,SSD,1,4,1,2915.3642789223454,8.396082625667146,19.010139094268126
25,HP,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,4.4,1.6,macOS,1504.2,25,512.0,SSD,1,3,6,1938.5187334437085,7.316681058719282,3.2115001467777993
26,Asus,AMD Ryzen 9,64,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,6.2,2.58,macOS,3907.83,26,512.0,SSD,1,4,3,1927.3151416309015,8.27099337546379,19.126239183992634
27,Microsoft,AMD Ryzen 9,8,1TB SSD,Integrated,13.3,1366x768,9.9,3.11,Windows,976.43,27,1024.0,SSD,1,4,1,1975.2035489361701,6.884926678042116,3.118925421037949
28,Microsoft,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,macOS,3286.11,28,512.0,SSD,1,2,3,1975.2035489361701,8.097764038270078,18.7308881868498
29,Dell,AMD Ryzen 3,4,1TB SSD,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69,29,1024.0,SSD,1,1,2,1972.2702222222224,6.724661424042727,1.4488622792409376
30,Samsung,Intel i7,32,1TB SSD,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04,30,1024.0,SSD,1,3,4,1959.007248495271,7.961732758024293,9.905920202723369
31,Lenovo,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25,31,1024.0,SSD,1,4,6,1978.465790393013,8.184583485609322,10.219695791019292
32,HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4,32,512.0,SSD,1,1,3,1938.5187334437085,7.538707855948965,18.533212688278383
33,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21,33,2048.0,SSD,1,2,2,1972.2702222222224,7.514914195357645,9.592144614427443
34,MSI,Intel i3,64,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88,34,1024.0,SSD,1,1,5,2517.552226890756,8.12913961892751,18.64931277800289
35,Acer,AMD Ryzen 5,8,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02,35,512.0,SSD,1,2,4,1914.1085150214592,7.562172026182019,2.897724558481875
36,Samsung,AMD Ryzen 9,32,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32,36,2048.0,SSD,1,4,6,1959.007248495271,7.864158633832036,10.219695791019292
37,Dell,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48,37,2048.0,SSD,1,4,4,1972.2702222222224,7.927136752524964,10.103595701294786
38,MSI,Intel i9,16,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31,38,1024.0,SSD,1,4,2,2517.552226890756,7.830946150046472,5.447148847790229
